"","Experiment","PhageType","Time","VirusTiter","Temperature","Surface"
"164",3,"PhiX174",6,82500000,37,"Steel"
"165",3,"PhiX174",8,7.3e+07,37,"Steel"
"166",1,"T4",0,1.3e+10,37,"Steel"
"167",1,"T4",2,9.7e+09,37,"Steel"
"168",1,"T4",4,8.55e+09,37,"Steel"
"169",1,"T4",6,7.2e+09,37,"Steel"
"170",1,"T4",8,4.95e+09,37,"Steel"
"171",2,"T4",0,1.3e+10,37,"Steel"
"172",2,"T4",2,9.9e+09,37,"Steel"
"173",2,"T4",4,8.65e+09,37,"Steel"
"174",2,"T4",6,6.95e+09,37,"Steel"
"175",2,"T4",8,4.6e+09,37,"Steel"
"176",3,"T4",0,1.23e+10,37,"Steel"
"177",3,"T4",2,9.25e+09,37,"Steel"
"178",3,"T4",4,7.9e+09,37,"Steel"
"179",3,"T4",6,6.65e+09,37,"Steel"
"180",3,"T4",8,5.15e+09,37,"Steel"
"181",1,"PhiX174",0,1.45e+08,37,"Plastic"
"182",1,"PhiX174",2,92500000,37,"Plastic"
"183",1,"PhiX174",4,8.6e+07,37,"Plastic"
"184",1,"PhiX174",6,65500000,37,"Plastic"
"185",1,"PhiX174",8,38500000,37,"Plastic"
"186",2,"PhiX174",0,1.49e+08,37,"Plastic"
"187",2,"PhiX174",2,1.04e+08,37,"Plastic"
"188",2,"PhiX174",4,9.8e+07,37,"Plastic"
"189",2,"PhiX174",6,71500000,37,"Plastic"
"190",2,"PhiX174",8,6.1e+07,37,"Plastic"
"191",3,"PhiX174",0,1.53e+08,37,"Plastic"
"192",3,"PhiX174",2,1.15e+08,37,"Plastic"
"193",3,"PhiX174",4,9.4e+07,37,"Plastic"
"194",3,"PhiX174",6,82500000,37,"Plastic"
"195",3,"PhiX174",8,7.3e+07,37,"Plastic"
"196",1,"T4",0,1.3e+10,37,"Plastic"
"197",1,"T4",2,1e+10,37,"Plastic"
"198",1,"T4",4,8.3e+09,37,"Plastic"
"199",1,"T4",6,5.6e+09,37,"Plastic"
"200",1,"T4",8,3.85e+09,37,"Plastic"
"201",2,"T4",0,1.3e+10,37,"Plastic"
"202",2,"T4",2,1.17e+10,37,"Plastic"
"203",2,"T4",4,7.95e+09,37,"Plastic"
"204",2,"T4",6,5e+09,37,"Plastic"
"205",2,"T4",8,3.5e+09,37,"Plastic"
